epoch,accuracy,loss,val_accuracy,val_loss
0,0.25360366702079773,2.3694682121276855,0.41722097992897034,1.7909727096557617
1,0.38373199105262756,1.8676745891571045,0.4608277976512909,1.628042459487915
2,0.4260256588459015,1.744827151298523,0.462675541639328,1.6114120483398438
3,0.4553302824497223,1.651213526725769,0.49076128005981445,1.5206698179244995
4,0.4657056927680969,1.6126035451889038,0.4966740608215332,1.4869475364685059
5,0.47774434089660645,1.575653076171875,0.4848484992980957,1.4946331977844238
6,0.47972437739372253,1.5559664964675903,0.5048041343688965,1.475467562675476
7,0.49223825335502625,1.5342565774917603,0.5158905982971191,1.4646440744400024
8,0.4885157644748688,1.5249791145324707,0.5033259391784668,1.5000954866409302
9,0.4984951615333557,1.5115816593170166,0.5084996223449707,1.450918436050415
10,0.4978615641593933,1.500337839126587,0.5107169151306152,1.4426970481872559
11,0.503643274307251,1.4927420616149902,0.514042854309082,1.4372309446334839
12,0.4964359402656555,1.49619460105896,0.5243902206420898,1.4175177812576294
13,0.5041185021400452,1.4889822006225586,0.516629695892334,1.4373042583465576
14,0.4996832013130188,1.494148850440979,0.5066518783569336,1.4774318933486938
15,0.5005543828010559,1.48564612865448,0.5066518783569336,1.4416635036468506
16,0.50538569688797,1.4915659427642822,0.5040650367736816,1.4325116872787476
17,0.5096626281738281,1.4722596406936646,0.49926090240478516,1.4757959842681885
18,0.5014256238937378,1.4836416244506836,0.5114560127258301,1.4303728342056274
19,0.5052273273468018,1.471967101097107,0.5158905982971191,1.4368642568588257
20,0.5065737366676331,1.4907547235488892,0.49556541442871094,1.4623335599899292
21,0.5194836258888245,1.4590611457824707,0.5033259391784668,1.4617550373077393
22,0.5050688982009888,1.4872006177902222,0.5029563903808594,1.4305812120437622
23,0.509028971195221,1.4728666543960571,0.5103473663330078,1.4280143976211548
24,0.5048313140869141,1.4871217012405396,0.5114560127258301,1.4411102533340454
25,0.5026928782463074,1.491494059562683,0.5203251838684082,1.4135327339172363
26,0.5078409910202026,1.4859877824783325,0.5022172927856445,1.4560627937316895
27,0.5044353008270264,1.483488917350769,0.5188469886779785,1.430855631828308
28,0.511959433555603,1.4756739139556885,0.5144124031066895,1.4297775030136108
29,0.5111674070358276,1.475908637046814,0.5059127807617188,1.4424536228179932
30,0.5080785751342773,1.4697461128234863,0.5103473663330078,1.4399224519729614
31,0.500158429145813,1.5036754608154297,0.5073909759521484,1.4631164073944092
32,0.509028971195221,1.4838241338729858,0.5147819519042969,1.4236407279968262
33,0.5069697499275208,1.4825464487075806,0.5066518783569336,1.4356105327606201
34,0.5117218494415283,1.4687219858169556,0.5081300735473633,1.436422348022461
35,0.5086329579353333,1.4850120544433594,0.5158905982971191,1.4143933057785034
