108,5,1,1,0,0,0,0,1,0,3,2,1,0,2,1,1,1
0,75,16,9,0,1,1,2,0,1,1,5,0,0,0,0,1,0
1,12,77,10,2,2,2,3,2,2,0,4,0,2,3,0,1,0
1,9,8,75,8,9,8,1,1,0,0,3,0,0,2,0,0,0
0,3,6,26,43,36,16,9,2,0,0,6,0,0,0,0,1,0
0,3,2,7,10,69,19,5,4,1,1,4,0,0,0,0,0,0
0,4,4,8,17,20,41,17,11,2,0,7,0,0,2,0,1,0
0,5,5,5,9,15,9,62,50,5,2,10,1,0,1,0,1,0
0,0,1,2,1,5,8,12,125,11,5,5,6,0,2,1,3,2
1,1,8,0,1,0,0,10,53,44,16,3,27,6,4,3,14,1
3,1,2,1,1,0,1,3,23,11,44,9,17,12,6,9,9,2
3,5,3,1,0,4,7,10,24,5,11,74,4,0,2,3,1,2
0,0,1,0,0,0,0,1,7,19,15,0,46,6,2,2,7,2
1,1,0,2,0,0,0,0,2,4,8,3,4,128,8,16,4,3
1,2,7,2,1,0,3,1,4,6,7,12,2,20,59,9,16,9
2,0,0,0,0,0,0,0,0,1,4,3,6,23,9,92,3,16
1,2,5,0,1,1,2,2,7,10,6,3,8,9,11,5,72,13
0,0,1,0,0,0,0,1,1,3,2,0,2,11,5,14,11,117
