epoch,accuracy,loss,val_accuracy,val_loss
0,0.09401235729455948,2.729827404022217,0.12638580799102783,2.6131880283355713
1,0.13004910945892334,2.58900785446167,0.13045084476470947,2.5681872367858887
2,0.1514335423707962,2.514934778213501,0.1803399920463562,2.4632625579833984
3,0.1819261908531189,2.441521167755127,0.210643008351326,2.364746570587158
4,0.20362743735313416,2.383927822113037,0.2076866179704666,2.3977458477020264
5,0.22065578401088715,2.3144137859344482,0.22505542635917664,2.340837001800537
6,0.23253603279590607,2.273886203765869,0.25055432319641113,2.251739025115967
7,0.2444954812526703,2.238802909851074,0.24944567680358887,2.2012932300567627
8,0.2570885419845581,2.1993043422698975,0.25757575035095215,2.2151107788085938
9,0.2699984014034271,2.1634180545806885,0.2912047207355499,2.1070361137390137
10,0.27981942892074585,2.1500132083892822,0.28492239117622375,2.1351327896118164
11,0.28124505281448364,2.1125905513763428,0.2923133671283722,2.0764377117156982
12,0.290115624666214,2.080963134765625,0.2875092327594757,2.1527204513549805
13,0.29756060242652893,2.06241512298584,0.32076865434646606,2.002655267715454
14,0.3057183623313904,2.0349137783050537,0.3252032399177551,1.9972290992736816
15,0.3156977593898773,2.0158257484436035,0.3030303120613098,2.035849094390869
16,0.3176777958869934,1.9909740686416626,0.3133776783943176,2.025705337524414
17,0.32583558559417725,1.9672085046768188,0.3348115384578705,1.971764087677002
18,0.32868683338165283,1.9531402587890625,0.3385070264339447,1.9564270973205566
19,0.34127989411354065,1.9355506896972656,0.32594233751296997,2.050147294998169
