111,5,1,0,0,0,0,0,1,2,1,1,1,2,0,0,0,2
25,47,8,2,0,0,0,1,12,1,1,1,0,7,6,0,1,0
5,40,32,7,2,0,0,3,18,2,0,1,0,9,4,0,0,0
1,13,21,57,22,1,0,1,5,0,0,1,0,0,3,0,0,0
1,3,7,37,57,17,5,11,9,0,0,1,0,0,0,0,0,0
1,7,4,11,50,32,4,9,3,0,0,3,0,0,1,0,0,0
1,2,4,24,38,16,13,18,8,3,0,3,0,0,4,0,0,0
1,10,5,5,7,6,1,54,50,10,1,8,2,8,7,0,5,0
7,5,6,6,0,1,0,10,104,32,2,5,4,4,1,0,2,0
3,12,1,1,1,0,0,6,42,80,4,1,14,9,6,1,7,4
7,8,2,3,1,0,0,9,25,21,9,8,18,20,7,2,7,7
9,12,6,3,1,10,2,17,46,17,1,25,1,2,1,0,5,1
2,2,1,0,0,0,0,0,11,23,4,0,43,9,1,3,5,4
4,5,5,0,1,0,0,0,7,7,4,0,9,96,12,8,10,16
7,5,7,0,3,0,1,3,8,18,3,3,9,24,37,7,13,13
5,3,1,0,0,0,0,2,3,8,1,1,19,22,5,35,8,46
6,6,2,0,0,0,0,5,14,27,4,1,12,22,8,4,33,14
4,0,0,0,0,0,0,0,1,6,2,0,6,22,8,11,22,86
