epoch,accuracy,loss,val_accuracy,val_loss
0,0.09630919992923737,2.7662129402160645,0.13488544523715973,2.596250295639038
1,0.1500871181488037,2.5822341442108154,0.1718403548002243,2.5448520183563232
2,0.16909551620483398,2.499882221221924,0.18625277280807495,2.4469590187072754
3,0.18493585288524628,2.4455509185791016,0.21322986483573914,2.372161388397217
4,0.1958656758069992,2.3963282108306885,0.22579452395439148,2.3230936527252197
5,0.213052436709404,2.3539135456085205,0.22764228284358978,2.3225293159484863
6,0.21693331003189087,2.3255577087402344,0.22579452395439148,2.3030381202697754
7,0.23332805931568146,2.2955479621887207,0.2535107135772705,2.202057361602783
8,0.2410898208618164,2.2636525630950928,0.24722838401794434,2.2724103927612305
9,0.2440202683210373,2.255383014678955,0.23946784436702728,2.2680392265319824
10,0.24774275720119476,2.2299373149871826,0.25794529914855957,2.2261197566986084
11,0.2547917068004608,2.2050600051879883,0.2742054760456085,2.160919427871704
12,0.2574845552444458,2.1955878734588623,0.24722838401794434,2.3005518913269043
13,0.2608110308647156,2.186709403991699,0.2941611111164093,2.1070029735565186
14,0.2710280418395996,2.173156976699829,0.28492239117622375,2.139773368835449
15,0.2715032398700714,2.1536166667938232,0.2937915623188019,2.1184377670288086
16,0.2717408537864685,2.1497490406036377,0.279009610414505,2.150800943374634
17,0.27839380502700806,2.124995231628418,0.29674795269966125,2.1057586669921875
18,0.28084903955459595,2.1316065788269043,0.3011825680732727,2.0769031047821045
19,0.2766513526439667,2.1281752586364746,0.30561715364456177,2.1338908672332764
