111,3,0,0,0,0,0,0,4,3,0,0,3,3,0,0,0,0
28,25,15,7,1,0,0,0,17,5,0,0,1,10,3,0,0,0
7,13,24,27,8,0,1,3,21,7,0,1,1,9,1,0,0,0
0,6,13,64,28,1,0,3,5,1,0,0,0,3,1,0,0,0
0,2,2,43,52,14,10,12,9,1,0,0,0,2,1,0,0,0
1,4,6,18,45,14,16,7,13,0,0,1,0,0,0,0,0,0
1,3,3,23,45,8,14,15,16,4,0,0,0,2,0,0,0,0
4,4,5,6,14,5,17,31,45,24,3,4,0,12,4,0,1,1
17,12,1,8,5,0,1,11,91,33,1,0,1,5,1,0,2,0
8,7,3,2,0,1,1,6,46,79,1,3,2,21,3,1,5,3
16,3,6,3,1,0,1,12,23,31,2,2,6,33,3,1,5,6
15,6,6,3,4,7,1,19,44,32,4,7,1,4,2,1,1,2
4,2,2,0,0,0,0,0,11,30,0,0,12,24,1,2,11,9
6,3,2,2,1,0,0,2,10,19,0,1,5,103,5,7,4,14
6,3,4,2,3,0,1,19,14,27,0,0,8,44,10,2,8,10
4,2,0,0,0,0,0,1,4,10,2,1,13,47,0,31,5,39
5,4,2,1,0,1,1,7,19,37,3,1,6,33,8,3,7,20
3,0,0,0,1,0,0,1,1,10,0,0,7,42,3,15,12,73
