epoch,accuracy,loss,val_accuracy,val_loss
0,0.48938697576522827,1.5381052494049072,0.5295639038085938,1.3672032356262207
1,0.524077296257019,1.3853034973144531,0.5354767441749573,1.3484630584716797
2,0.5511642694473267,1.318992018699646,0.5513673424720764,1.3225005865097046
3,0.57674640417099,1.2319475412368774,0.5473023056983948,1.3215904235839844
4,0.5982100367546082,1.180182695388794,0.560606062412262,1.2949509620666504
5,0.611911952495575,1.128079891204834,0.5668883919715881,1.2767184972763062
6,0.6327419877052307,1.07923424243927,0.5620842576026917,1.2783174514770508
7,0.6440678238868713,1.0285199880599976,0.5702143311500549,1.2648566961288452
8,0.6627593636512756,0.9716701507568359,0.5731707215309143,1.2667750120162964
9,0.6686995029449463,0.9504530429840088,0.5728011727333069,1.2576067447662354
10,0.6938064098358154,0.8912666440010071,0.5827789902687073,1.247403860092163
11,0.7132108211517334,0.840712308883667,0.5790835022926331,1.2559847831726074
12,0.7170917391777039,0.8220194578170776,0.5809312462806702,1.2498517036437988
13,0.7311896085739136,0.7725878357887268,0.577235758304596,1.2840206623077393
14,0.744099497795105,0.7427007555961609,0.5909090638160706,1.269723892211914
15,0.7530492544174194,0.7174686789512634,0.5901699662208557,1.2564492225646973
16,0.7642167210578918,0.6800476312637329,0.5931263566017151,1.2598464488983154
17,0.7787898182868958,0.6462898850440979,0.5894308686256409,1.2880675792694092
18,0.7853635549545288,0.6184985041618347,0.5927568078041077,1.2851475477218628
19,0.7985901832580566,0.5871158838272095,0.5905395150184631,1.2952309846878052
20,0.8053223490715027,0.5620526075363159,0.5927568078041077,1.3181511163711548
21,0.8174402117729187,0.5254117250442505,0.5957132577896118,1.316367745399475
22,0.82417231798172,0.5086894631385803,0.5938655138015747,1.3354929685592651
23,0.8354189991950989,0.4842631220817566,0.5927568078041077,1.3821812868118286
24,0.8427847027778625,0.45854395627975464,0.5872135758399963,1.3713302612304688
25,0.8496752977371216,0.4446159303188324,0.594974160194397,1.3703479766845703
26,0.8552193641662598,0.4172496795654297,0.5934959053993225,1.4129829406738281
27,0.864169180393219,0.4002322852611542,0.594974160194397,1.3967232704162598
