119,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1
5,83,5,13,0,0,1,1,0,0,0,2,0,0,2,0,0,0
2,10,75,13,3,2,3,6,1,1,0,1,0,1,3,0,2,0
1,5,7,82,15,3,5,2,1,0,0,0,0,0,4,0,0,0
0,0,1,18,73,28,15,7,0,1,0,4,0,0,0,0,1,0
0,2,1,4,24,72,15,3,2,0,1,1,0,0,0,0,0,0
0,2,0,5,26,14,56,16,6,2,0,4,0,0,3,0,0,0
0,1,4,4,11,11,21,81,27,6,4,6,0,0,1,0,2,1
0,0,1,0,1,1,7,23,110,24,5,6,4,0,3,1,1,2
1,0,4,0,0,0,1,14,28,77,18,7,13,5,3,5,15,1
2,1,2,0,1,0,2,5,13,18,42,11,14,13,14,10,5,1
2,3,0,2,3,3,9,10,13,9,9,84,1,0,4,2,2,3
0,0,1,0,0,0,0,1,8,29,11,1,41,4,3,2,4,3
0,1,0,2,0,0,0,0,1,1,9,3,4,124,15,18,2,4
0,0,5,2,0,0,3,1,0,6,2,6,2,10,96,9,9,10
1,0,0,0,0,0,0,0,0,0,2,4,2,15,11,106,2,16
2,0,3,1,0,0,2,1,3,15,8,4,3,4,20,2,82,8
1,0,0,0,0,0,0,0,0,2,1,1,2,6,6,5,7,137
